Cod Produto;Produto;Deriv;Tipo/Cor;Rua;Secao;Andar
150001001;FITA BORDA PAPEL 18MM PARDO - 180G;3000;NEUTRO;R3D;S1;E2
150001003;FITA BORDA PAPEL 40 MM PARDO - 180G;3000;NEUTRO;R3D;S2;D2
150001004;FITA BORDA PAPEL 18 MM - 210G;1053;OFF WHITE BRILHO;R3D;S5;D0
150001004;FITA BORDA PAPEL 18 MM - 210G;2014;PRETO FOSCO;R3D;S5;E0
150001004;FITA BORDA PAPEL 18 MM - 210G;2063;CHUMBO;R3D;S1;E3
150001004;FITA BORDA PAPEL 18 MM - 210G;2086;GRIS FOSCO;R3D;S9;E3
150001004;FITA BORDA PAPEL 18 MM - 210G;3038;AVELA;R3D;S4;E0
150001004;FITA BORDA PAPEL 18 MM - 210G;3039;OFF WHITE;R3D;S2;E0
150001004;FITA BORDA PAPEL 18 MM - 210G;3039;OFF WHITE;R3D;S2;D0
150001004;FITA BORDA PAPEL 18 MM - 210G;3039;OFF WHITE;R3D;S2;E3
150001004;FITA BORDA PAPEL 18 MM - 210G;3039;OFF WHITE;R3D;S7;D3
150001004;FITA BORDA PAPEL 18 MM - 210G;3039;OFF WHITE;R3D;S7;E3
150001004;FITA BORDA PAPEL 18 MM - 210G;3039;OFF WHITE;R3D;S8;D3
150001004;FITA BORDA PAPEL 18 MM - 210G;3039;OFF WHITE;R3D;S8;E3
150001004;FITA BORDA PAPEL 18 MM - 210G;3045;NOGUEIRA;R3D;S1;D0
150001004;FITA BORDA PAPEL 18 MM - 210G;3046;NOGAL;R3D;S3;D0
150001004;FITA BORDA PAPEL 18 MM - 210G;3052;CARVALHO;R3D;S3;E0
150001004;FITA BORDA PAPEL 18 MM - 210G;3057;FREIJO;R3D;S1;E0
150001004;FITA BORDA PAPEL 18 MM - 210G;3057;FREIJO;R3D;S1;E1
150001004;FITA BORDA PAPEL 18 MM - 210G;3058;AMENDOA;R3D;S4;D0
150001004;FITA BORDA PAPEL 18 MM - 210G;3059;TITANIO;R3D;S6;E0
150001004;FITA BORDA PAPEL 18 MM - 210G;3070;NATURE;R3E;S5;D3
150001004;FITA BORDA PAPEL 18 MM - 210G;3080;TAUARI;R4D;S1;E3
150001004;FITA BORDA PAPEL 18 MM - 210G;3082;JATOBA;R3D;S6;E3
150001004;FITA BORDA PAPEL 18 MM - 210G;3085;JEQUITIBA;R3D;S5;E1
150001005;FITA BORDA PAPEL 28 MM - 240G;1053;OFF WHITE BRILHO;R3D;S5;D1
150001005;FITA BORDA PAPEL 28 MM - 240G;2038;AVELA FOSCO;R3D;S4;E1
150001005;FITA BORDA PAPEL 28 MM - 240G;2039;OFF WHITE FOSCO;R3D;S2;E1
150001006;FITA BORDA PAPEL 28 MM - 240G;2039;OFF WHITE FOSCO;R3D;S2;E2
150001005;FITA BORDA PAPEL 28 MM - 240G;2052;CARVALHO FOSCO;R3D;S3;E0
150001005;FITA BORDA PAPEL 28 MM - 240G;2057;FREIJO FOSCO;R3D;S1;D1
150001005;FITA BORDA PAPEL 28 MM - 240G;2058;AMENDOA FOSCO;R3D;S4;D1
150001005;FITA BORDA PAPEL 28 MM - 240G;2059;TITANIO FOSCO;R3D;S6;E1
150001005;FITA BORDA PAPEL 28 MM - 240G;2063;CHUMBO;R3D;S1;D3
